task,dataset,network_type,network_depth,network_activation,accuracy_pct,accuracy,loss,lr,global_step,datetime
reduce_sum,one_hot,dense,1,linear,100.0%,1.0,2.3824464e-06,0.01,1000,2018-11-02 16:30:41
reduce_max,one_hot,dense,1,linear,100.0%,1.0,1.1401751e-06,0.01,700,2018-11-02 16:32:11
concat,one_hot,dense,1,linear,99.0%,0.99171096,0.0101305945,0.0001,1000,2018-11-02 16:33:07
dot,one_hot,dense,1,linear,89.0%,0.89275,0.023592463,0.0010000006,100,2018-11-02 16:35:09
elementwise_mul,one_hot,dense,1,linear,99.0%,0.99126565,0.0045539155,0.0001,1000,2018-11-02 16:36:05
one_hot_sum,one_hot,dense,1,linear,99.0%,0.9948965,0.006432534,0.001,200,2018-11-02 16:37:17
elementwise_add,one_hot,dense,1,linear,100.0%,0.9999668,8.8971334e-05,0.01,600,2018-11-02 16:38:44
equality,one_hot,dense,1,linear,100.0%,0.9981777,0.00043973877,0.01,1000,2018-11-02 16:40:14
logical_and,one_hot,dense,1,linear,99.0%,0.9916016,0.0045248806,0.0001,1000,2018-11-02 16:41:08
logical_or,one_hot,dense,1,linear,100.0%,0.9995527,0.00022476114,0.01,600,2018-11-02 16:42:38
logical_xor,one_hot,dense,1,linear,100.0%,0.9978086,0.0005612952,0.01,700,2018-11-02 16:44:07
reduce_sum,one_hot,dense,1,tanh,0.0%,0.0,1.0,1.0,30000,2018-11-02 16:47:25
reduce_max,one_hot,dense,1,tanh,100.0%,1.0,0.0011904258,0.01,1000,2018-11-02 16:48:54
concat,one_hot,dense,1,tanh,99.0%,0.99158007,0.010098731,0.0001,1000,2018-11-02 16:49:49
reduce_sum,random_pos,dense,1,linear,100.0%,1.0,1.7786737e-05,0.01,1000,2018-11-02 16:53:10
reduce_max,random_pos,dense,1,linear,100.0%,1.0,0.00022204228,0.01,1000,2018-11-02 16:53:16
concat,random_pos,dense,1,linear,100.0%,1.0,1.6202648e-09,0.01,1000,2018-11-02 16:53:23
dot,random_pos,dense,1,linear,3.0%,0.0305,14.050371,0.009999993,30000,2018-11-02 16:54:53
elementwise_mul,random_pos,dense,1,linear,43.0%,0.43446094,0.11553457,0.0010000006,30000,2018-11-02 16:56:05
one_hot_sum,random_pos,dense,1,linear,100.0%,0.9962246,0.004065975,0.0010000006,1000,2018-11-02 16:56:12
elementwise_add,random_pos,dense,1,linear,100.0%,1.0,4.6486655e-15,0.01,1000,2018-11-02 16:56:50
equality,random_pos,dense,1,linear,100.0%,0.99992967,0.001491283,0.01,100,2018-11-02 16:56:56
logical_and,random_pos,dense,1,linear,100.0%,1.0,1.4269211e-15,0.01,1000,2018-11-02 16:57:03
logical_or,random_pos,dense,1,linear,100.0%,1.0,1.4921953e-15,0.01,1000,2018-11-02 16:57:09
logical_xor,random_pos,dense,1,linear,100.0%,0.9999375,0.0014065175,0.01,100,2018-11-02 16:57:15
reduce_sum,random_pos,dense,1,tanh,8.0%,0.081,73.873695,0.0010000006,30000,2018-11-02 16:58:48
reduce_max,random_pos,dense,1,tanh,100.0%,1.0,0.0023283663,0.01,1000,2018-11-02 16:59:26
concat,random_pos,dense,1,tanh,80.0%,0.8002539,0.0157136,0.009999993,30000,2018-11-02 17:00:57
dot,random_pos,dense,1,tanh,3.0%,0.02525,14.279883,1.0000001e-06,30000,2018-11-02 17:02:33
elementwise_mul,random_pos,dense,1,tanh,43.0%,0.4334746,0.11582541,0.0010000006,30000,2018-11-02 17:04:02
one_hot_sum,random_pos,dense,1,tanh,100.0%,0.99605274,0.0044083907,0.0010000006,1000,2018-11-02 17:04:08
elementwise_add,random_pos,dense,1,tanh,55.0%,0.5463574,0.0665811,0.009999993,30000,2018-11-02 17:05:34
equality,random_pos,dense,1,tanh,100.0%,0.99990624,0.0014577396,0.009999993,200,2018-11-02 17:05:40
reduce_sum,random,dense,1,linear,100.0%,1.0,3.9844068e-05,0.01,1000,2018-11-02 17:25:45
reduce_max,random,dense,1,linear,100.0%,1.0,0.00019476029,0.01,1000,2018-11-02 17:25:52
concat,random,dense,1,linear,100.0%,1.0,1.5971433e-09,0.01,1000,2018-11-02 17:25:58
dot,random,dense,1,linear,4.0%,0.036,14.521193,0.009999993,30000,2018-11-02 17:27:30
elementwise_mul,random,dense,1,linear,44.0%,0.4364375,0.11461051,0.001,1000,2018-11-02 17:28:56
one_hot_sum,random,dense,1,linear,100.0%,0.9961387,0.0041499822,0.001,1000,2018-11-02 17:29:03
elementwise_add,random,dense,1,linear,100.0%,1.0,4.5947527e-15,0.01,1000,2018-11-02 17:29:44
equality,random,dense,1,linear,100.0%,0.9999375,0.0014314604,0.01,100,2018-11-02 17:29:50
logical_and,random,dense,1,linear,100.0%,1.0,1.3744769e-15,0.01,1000,2018-11-02 17:29:56
logical_or,random,dense,1,linear,100.0%,1.0,1.3828661e-15,0.01,1000,2018-11-02 17:30:02
logical_xor,random,dense,1,linear,100.0%,0.999957,0.0013564699,0.01,100,2018-11-02 17:30:08
reduce_sum,random_pos,dense,1,linear,100.0%,1.0,1.7028944e-05,0.01,1000,2018-11-02 17:30:13
reduce_max,random_pos,dense,1,linear,100.0%,1.0,0.00021131682,0.01,1000,2018-11-02 17:30:17
concat,random_pos,dense,1,linear,100.0%,1.0,1.6143987e-09,0.01,1000,2018-11-02 17:30:22
dot,random_pos,dense,1,linear,3.0%,0.03325,13.983892,0.001,1000,2018-11-02 17:31:31
elementwise_mul,random_pos,dense,1,linear,44.0%,0.43633202,0.11490174,0.001,1000,2018-11-02 17:32:11
one_hot_sum,random_pos,dense,1,linear,100.0%,0.9961367,0.0041325516,0.001,1000,2018-11-02 17:32:17
elementwise_add,random_pos,dense,1,linear,100.0%,1.0,4.6747617e-15,0.01,1000,2018-11-02 17:32:45
equality,random_pos,dense,1,linear,100.0%,1.0,5.241025e-05,0.01,200,2018-11-02 17:32:51
logical_and,random_pos,dense,1,linear,100.0%,1.0,1.4199752e-15,0.01,1000,2018-11-02 17:32:56
logical_or,random_pos,dense,1,linear,100.0%,1.0,1.4825641e-15,0.01,1000,2018-11-02 17:33:00
logical_xor,random_pos,dense,1,linear,100.0%,1.0,5.2765903e-05,0.01,200,2018-11-02 17:33:06
reduce_sum,one_hot,dense,1,linear,100.0%,1.0,2.320144e-06,0.01,1000,2018-11-02 17:33:22
reduce_max,one_hot,dense,1,linear,100.0%,1.0,1.3748551e-07,0.01,800,2018-11-02 17:33:38
concat,one_hot,dense,1,linear,99.0%,0.9924053,0.0012230623,0.01,300,2018-11-02 17:33:56
dot,one_hot,dense,1,linear,99.0%,0.99125,0.009628229,0.001,1000,2018-11-02 17:35:16
elementwise_mul,one_hot,dense,1,linear,100.0%,0.99983984,0.0020000727,0.001,200,2018-11-02 17:35:33
one_hot_sum,one_hot,dense,1,linear,100.0%,0.99580663,0.004920246,0.001,300,2018-11-02 17:35:50
elementwise_add,one_hot,dense,1,linear,100.0%,0.99989647,4.8819373e-05,0.01,700,2018-11-02 17:37:26
equality,one_hot,dense,1,linear,100.0%,0.998332,0.0004782333,0.01,1000,2018-11-02 17:37:42
logical_and,one_hot,dense,1,linear,100.0%,0.9995703,0.00073806295,0.01,100,2018-11-02 17:37:59
logical_or,one_hot,dense,1,linear,100.0%,0.9989785,0.00022886587,0.01,700,2018-11-02 17:38:16
logical_xor,one_hot,dense,1,linear,100.0%,0.9979043,0.0005974286,0.01,800,2018-11-02 17:38:32
reduce_max,many_hot,dense,1,linear,99.0%,0.99275,0.0034461096,1.0,1000,2018-11-02 17:46:34
concat,many_hot,dense,1,linear,100.0%,1.0,3.933745e-06,0.01,1000,2018-11-02 17:49:07
dot,many_hot,dense,1,linear,4.0%,0.0435,8.693318,0.009999993,30000,2018-11-02 17:53:11
elementwise_mul,many_hot,dense,1,linear,10.0%,0.10277735,0.067610495,0.001,1000,2018-11-02 17:56:02
one_hot_sum,many_hot,dense,1,linear,98.0%,0.9785918,0.0051215836,0.001,1000,2018-11-02 18:01:10
elementwise_add,many_hot,dense,1,linear,100.0%,1.0,9.317851e-07,0.01,1000,2018-11-02 18:03:50
equality,many_hot,dense,1,linear,0.0%,0.0005019531,0.25949,0.001,1000,2018-11-02 18:09:08
logical_and,many_hot,dense,1,linear,10.0%,0.10048633,0.067893766,0.001,1000,2018-11-02 18:14:55
logical_or,many_hot,dense,1,linear,11.0%,0.10501758,0.06812092,0.001,1000,2018-11-02 18:22:40
logical_xor,many_hot,dense,1,linear,0.0%,0.0001484375,0.25917336,0.001,1000,2018-11-02 18:29:32
reduce_sum,random,dense,1,tanh,2.0%,0.02075,70.853584,0.10000009,30000,2018-11-02 18:32:09
reduce_max,random,dense,1,tanh,100.0%,0.99975,0.00013641363,0.10000009,1000,2018-11-02 18:32:16
concat,random,dense,1,tanh,93.0%,0.93494046,0.007818875,0.01,1000,2018-11-02 18:35:05
dot,random,dense,1,tanh,4.0%,0.03875,14.407303,0.1,1000,2018-11-02 18:37:41
elementwise_mul,random,dense,1,tanh,43.0%,0.43468165,0.11567289,0.001,1000,2018-11-02 18:40:08
